"","Member_number","Date","itemDescription"
"198",3375,2015-04-26,"frankfurter"
"199",2760,2015-01-07,"cereal"
"200",4249,2015-09-13,"canned beer"
"201",2904,2015-06-06,"specialty chocolate"
"202",4090,2015-02-26,"curd"
"203",3060,2015-07-05,"canned beer"
"204",3768,2015-10-07,"whole milk"
"205",1232,2015-01-21,"rolls/buns"
"206",1360,2015-10-23,"pork"
"207",1107,2015-10-01,"citrus fruit"
"208",2865,2015-11-04,"pot plants"
"209",2958,2015-06-14,"rolls/buns"
"210",2448,2015-07-12,"butter"
"211",1222,2015-09-24,"condensed milk"
"212",2943,2015-06-20,"cereal"
"213",2270,2015-08-11,"whole milk"
"214",3812,2015-07-21,"cereal"
"215",1482,2015-11-22,"beverages"
"216",4720,2015-02-22,"beverages"
"217",1344,2015-09-04,"bottled water"
"218",2397,2015-10-04,"newspapers"
"219",4182,2015-05-12,"cleaner"
"220",4487,2015-07-10,"cereal"
"221",3467,2015-12-24,"newspapers"
"222",2443,2015-11-15,"cereal"
"223",2749,2015-01-27,"misc. beverages"
"224",4389,2015-04-13,"white wine"
"225",1674,2015-12-04,"cereal"
"226",4262,2015-10-16,"meat"
"227",2082,2015-04-07,"frankfurter"
"228",4494,2015-01-06,"ice cream"
"229",2460,2015-09-28,"canned beer"
"230",4509,2015-11-29,"tropical fruit"
"231",2267,2015-07-03,"meat"
"232",4891,2015-09-05,"whole milk"
"233",3962,2015-09-20,"cereal"
"234",4964,2015-07-18,"frankfurter"
"235",2914,2015-11-30,"meat"
"236",2808,2015-05-05,"root vegetables"
"237",1085,2015-08-15,"root vegetables"
"238",3808,2015-08-18,"whole milk"
"239",4149,2015-01-07,"citrus fruit"
"240",2331,2015-06-05,"citrus fruit"
"241",4475,2015-04-03,"beer"
"242",2761,2015-04-25,"citrus fruit"
"243",2620,2015-12-14,"cereal"
"244",3206,2015-10-13,"frankfurter"
"245",1226,2015-04-13,"hard cheese"
"246",1395,2015-03-07,"cream cheese "
"247",2465,2015-06-07,"turkey"
"248",3572,2015-07-09,"pork"
"249",4387,2015-05-08,"whole milk"
"250",1555,2015-03-27,"rolls/buns"
"251",1181,2015-11-16,"cereal"
"252",2814,2015-05-11,"ice cream"
"253",2794,2015-09-16,"liquor"
"254",2912,2015-01-28,"pip fruit"
"255",4667,2015-01-12,"root vegetables"
"256",2235,2015-10-25,"soda"
"257",2353,2015-05-02,"soda"
"258",3449,2015-03-08,"cereal"
"259",1058,2015-11-10,"root vegetables"
"260",1027,2015-05-17,"pork"
"261",3302,2015-05-22,"pork"
"262",2229,2015-05-30,"chocolate"
"263",2188,2015-08-15,"fruit/vegetable juice"
"264",1547,2015-04-18,"pickled vegetables"
"265",1649,2015-06-30,"bottled water"
"266",3254,2015-09-10,"frankfurter"
"267",2818,2015-11-07,"tropical fruit"
"268",2703,2015-05-08,"canned beer"
"269",3332,2015-01-31,"root vegetables"
"270",2473,2015-07-01,"meat"
"271",2810,2015-12-30,"frankfurter"
"272",1033,2015-04-22,"tropical fruit"
"273",4222,2015-05-27,"tropical fruit"
"274",3679,2015-09-21,"citrus fruit"
"275",2212,2015-08-27,"hamburger meat"
"276",1507,2015-06-22,"chicken"
"277",2870,2015-01-21,"chicken"
"278",3429,2015-04-26,"frankfurter"
"279",4148,2015-04-09,"canned beer"
"280",2970,2015-12-30,"turkey"
"281",2013,2015-08-30,"packaged fruit/vegetables"
"282",3967,2015-05-30,"pasta"
"283",2885,2015-05-15,"citrus fruit"
"284",3935,2015-07-02,"cereal"
"285",3283,2015-05-01,"whole milk"
"286",3268,2015-11-06,"canned beer"
"287",3677,2015-04-30,"citrus fruit"
"288",3495,2015-06-27,"liquor (appetizer)"
"289",1410,2015-10-04,"citrus fruit"
"290",2440,2015-06-06,"cereal"
"291",4088,2015-01-13,"chicken"
"292",2469,2015-09-23,"hamburger meat"
"293",4229,2015-03-06,"cereal"
"294",2728,2015-08-02,"beef"
"295",4694,2015-01-25,"citrus fruit"
"296",2836,2015-12-29,"UHT-milk"
"297",1311,2015-02-12,"candy"
"298",1760,2015-01-23,"newspapers"
"299",3656,2015-03-02,"beef"
"300",3720,2015-05-28,"cereal"
"301",2996,2015-09-26,"frankfurter"
"302",1949,2015-07-22,"canned beer"
"303",4498,2015-02-11,"bottled beer"
"304",2447,2015-12-28,"onions"
"305",1952,2015-03-23,"tropical fruit"
"306",4099,2015-01-27,"bottled water"
"307",1804,2015-03-12,"beef"
"308",1510,2015-05-16,"cereal"
"309",2879,2015-04-18,"hair spray"
"310",4899,2015-03-12,"chicken"
"311",4326,2015-09-29,"pork"
"312",1670,2015-05-17,"ice cream"
"313",1117,2015-05-24,"meat"
"314",1346,2015-04-03,"beer"
"315",1178,2015-11-15,"bottled water"
"316",1649,2015-06-25,"tropical fruit"
"317",4651,2015-06-21,"photo/film"
"318",4243,2015-04-02,"cereal"
"319",4429,2015-07-21,"grapes"
"320",4645,2015-07-25,"domestic eggs"
"321",4019,2015-07-24,"rolls/buns"
"322",4459,2015-04-26,"tropical fruit"
"323",3006,2015-12-27,"chicken"
"324",1834,2015-09-17,"frankfurter"
"325",3236,2015-07-04,"berries"
"326",1765,2015-03-11,"margarine"
"327",3855,2015-03-09,"tropical fruit"
"328",4392,2015-11-28,"ham"
"329",3330,2015-07-26,"hamburger meat"
"330",1723,2015-09-02,"yogurt"
"331",4110,2015-03-30,"soda"
"332",2600,2015-01-28,"yogurt"
"333",2946,2015-10-07,"soda"
"334",2426,2015-09-08,"bottled water"
"335",4170,2015-05-03,"cereal"
"336",1109,2015-04-06,"citrus fruit"
"337",3429,2015-01-04,"shopping bags"
"338",2055,2015-02-04,"newspapers"
"339",2480,2015-09-20,"frankfurter"
"340",2441,2015-05-30,"cereal"
"341",1054,2015-10-04,"frankfurter"
"342",4818,2015-01-11,"salt"
"343",3379,2015-01-21,"oil"
"344",3939,2015-02-10,"curd"
"345",1367,2015-08-05,"beer"
"346",1043,2015-01-10,"citrus fruit"
"347",2231,2015-10-17,"frankfurter"
"348",3235,2015-12-28,"root vegetables"
"349",4554,2015-07-16,"tropical fruit"
"350",3245,2015-01-24,"beef"
"351",2996,2015-05-19,"berries"
"352",2507,2015-01-05,"canned beer"
"353",4186,2015-10-25,"whipped/sour cream"
"354",3929,2015-04-28,"root vegetables"
"355",3760,2015-11-22,"whole milk"
"356",4928,2015-08-18,"beef"
"357",4217,2015-12-18,"frozen vegetables"
"358",1174,2015-02-11,"rolls/buns"
"359",4103,2015-06-19,"whole milk"
"360",4408,2015-03-13,"whole milk"
"361",2588,2015-12-28,"citrus fruit"
"362",2598,2015-11-11,"pastry"
"363",1518,2015-12-11,"frankfurter"
"364",2702,2015-04-08,"tropical fruit"
"365",1001,2015-01-20,"frankfurter"
"366",2270,2015-09-30,"berries"
"367",2838,2015-11-10,"rolls/buns"
"368",1683,2015-05-26,"root vegetables"
"369",4040,2015-04-03,"yogurt"
"370",3897,2015-08-23,"beer"
"371",2200,2015-03-11,"berries"
"372",4073,2015-01-29,"berries"
"373",3700,2015-04-19,"beer"
"374",3973,2015-06-10,"rolls/buns"
"375",2715,2015-07-06,"ham"
"376",3967,2015-11-23,"whole milk"
"377",4002,2015-09-03,"tropical fruit"
"378",2962,2015-03-01,"bottled water"
"379",4340,2015-12-25,"butter milk"
"380",2092,2015-11-06,"newspapers"
"381",3143,2015-05-24,"coffee"
"382",2209,2015-10-03,"bottled beer"
"383",2816,2015-08-22,"onions"
"384",2659,2015-06-01,"hamburger meat"
"385",1588,2015-10-13,"cereal"
"386",1144,2015-10-15,"hard cheese"
"387",2166,2015-12-10,"cereal"
"388",3300,2015-10-06,"hamburger meat"
"389",3944,2015-01-03,"onions"
"390",4979,2015-04-24,"coffee"
"391",2630,2015-01-21,"shopping bags"
"392",4240,2015-04-29,"yogurt"
"393",2357,2015-07-08,"soda"
"394",1743,2015-04-18,"sliced cheese"
"395",2331,2015-02-15,"cereal"
"396",1643,2015-04-28,"yogurt"
"397",1291,2015-03-20,"domestic eggs"
"398",3675,2015-07-04,"whole milk"
"399",4134,2015-11-06,"meat"
"400",1363,2015-06-21,"dish cleaner"
"401",4212,2015-05-01,"beer"
"402",1500,2015-03-21,"whole milk"
"403",2622,2015-10-01,"beer"
"404",3543,2015-03-18,"tropical fruit"
"405",2525,2015-05-24,"baking powder"
"406",1264,2015-10-12,"specialty bar"
"407",3601,2015-07-06,"ice cream"
"408",1771,2015-03-23,"frankfurter"
"409",4694,2015-02-06,"canned beer"
"410",1122,2015-12-21,"bottled water"
"411",3507,2015-08-12,"beer"
"412",4524,2015-04-26,"citrus fruit"
"413",3612,2015-09-27,"cereal"
"414",3262,2015-06-11,"domestic eggs"
"415",1897,2015-01-25,"pork"
"416",1656,2015-10-30,"specialty cheese"
"417",3953,2015-01-10,"pork"
"418",1488,2015-06-21,"beef"
"419",1652,2015-03-17,"beer"
"420",4953,2015-09-16,"chicken"
"421",3445,2015-04-30,"soda"
"422",3180,2015-03-15,"whole milk"
"423",4934,2015-09-06,"rolls/buns"
"424",2980,2015-04-27,"bottled beer"
"425",2763,2015-02-13,"root vegetables"
"426",4819,2015-03-04,"pastry"
"427",3169,2015-07-02,"berries"
"428",1850,2015-03-11,"citrus fruit"
"429",4285,2015-12-29,"whole milk"
"430",4366,2015-08-13,"soda"
"431",2253,2015-06-16,"bottled water"
"432",3398,2015-03-11,"tropical fruit"
"433",2215,2015-07-22,"salty snack"
"434",3737,2015-03-03,"bottled water"
"435",2649,2015-11-28,"chocolate"
"436",3203,2015-08-07,"citrus fruit"
"437",4261,2015-02-16,"bottled water"
"438",2435,2015-07-17,"onions"
"439",2046,2015-08-21,"dessert"
"440",4267,2015-02-11,"beef"
"441",1086,2015-12-28,"rolls/buns"
"442",1992,2015-01-04,"beef"
"443",3622,2015-07-26,"soda"
"444",4700,2015-06-27,"coffee"
"445",2272,2015-05-16,"rolls/buns"
"446",1663,2015-05-19,"pork"
"447",2519,2015-06-03,"soda"
"448",2639,2015-10-30,"cereal"
"449",1466,2015-04-19,"beef"
"450",4122,2015-10-23,"whole milk"
"451",3598,2015-04-15,"pork"
"452",3097,2015-08-10,"berries"
"453",1873,2015-09-19,"cereal"
"454",1537,2015-02-01,"bottled water"
"455",3960,2015-03-25,"tropical fruit"
"456",1136,2015-06-15,"herbs"
"457",2453,2015-12-21,"yogurt"
"458",1746,2015-02-15,"Instant food products"
"459",3572,2015-06-09,"specialty chocolate"
"460",3246,2015-06-24,"coffee"
"461",3207,2015-11-26,"bottled beer"
"462",1042,2015-02-12,"beef"
"463",1176,2015-03-30,"whole milk"
"464",3054,2015-02-23,"frankfurter"
"465",4486,2015-12-02,"frankfurter"
"466",1580,2015-12-05,"beer"
"467",1623,2015-11-02,"frankfurter"
"468",4169,2015-11-24,"whole milk"
"469",2254,2015-01-24,"frankfurter"
"470",4095,2015-11-01,"beer"
"471",1264,2015-11-17,"bottled water"
"472",3375,2015-01-06,"pork"
"473",3242,2015-05-23,"bottled water"
"474",2227,2015-06-07,"beer"
"475",3847,2015-12-03,"hamburger meat"
"476",3897,2015-05-31,"hamburger meat"
"477",1799,2015-09-27,"shopping bags"
"478",2920,2015-04-26,"whole milk"
"479",3713,2015-01-31,"ice cream"
"480",4230,2015-11-05,"pastry"
"481",1455,2015-03-18,"ham"
"482",3687,2015-03-18,"frankfurter"
"483",3869,2015-08-01,"cereal"
"484",2988,2015-10-14,"bottled beer"
"485",4242,2015-03-30,"bottled water"
"486",4118,2015-12-24,"meat"
"487",4996,2015-10-24,"dessert"
"488",4489,2015-03-04,"beer"
"489",1199,2015-11-09,"beverages"
"490",4108,2015-05-12,"ham"
"491",3484,2015-06-05,"specialty bar"
"492",1239,2015-08-31,"brown bread"
"493",4839,2015-12-19,"whole milk"
"494",4748,2015-05-07,"rolls/buns"
"495",4426,2015-06-06,"bottled beer"
"496",3571,2015-12-11,"pet care"
"497",2852,2015-06-08,"citrus fruit"
"498",3638,2015-05-26,"pork"
"499",3635,2015-03-10,"beer"
"500",2723,2015-05-07,"white wine"
"501",3495,2015-03-11,"whole milk"
"502",2813,2015-11-16,"pip fruit"
"503",2799,2015-09-02,"sugar"
"504",4723,2015-05-22,"tropical fruit"
"505",3313,2015-04-08,"root vegetables"
"506",4748,2015-12-15,"soda"
"507",2991,2015-02-16,"whole milk"
"508",1483,2015-04-01,"tropical fruit"
"509",3950,2015-10-01,"white bread"
"510",1634,2015-01-16,"brown bread"
"511",2694,2015-11-21,"tropical fruit"
"512",2707,2015-10-18,"domestic eggs"
"513",2813,2015-07-16,"coffee"
"514",2276,2015-01-11,"soda"
"515",4726,2015-02-06,"whole milk"
"516",4353,2015-05-25,"bottled beer"
"517",4017,2015-08-13,"pork"
"518",1422,2015-08-21,"beer"
"519",2714,2015-03-15,"yogurt"
"520",2769,2015-07-21,"sparkling wine"
"521",4166,2015-04-30,"bottled water"
"522",3614,2015-03-02,"citrus fruit"
"523",4361,2015-09-05,"hamburger meat"
"524",1922,2015-09-22,"packaged fruit/vegetables"
"525",4728,2015-09-06,"beer"
"526",3646,2015-08-08,"soda"
"527",1155,2015-08-10,"whole milk"
"528",2119,2015-06-11,"herbs"
"529",1602,2015-08-29,"citrus fruit"
"530",1074,2015-06-24,"misc. beverages"
"531",2256,2015-04-11,"female sanitary products"
"532",1348,2015-09-17,"soda"
"533",3806,2015-08-28,"tropical fruit"
"534",1711,2015-06-06,"soda"
"535",3959,2015-04-12,"white bread"
"536",1590,2015-08-15,"coffee"
"537",1962,2015-06-08,"tropical fruit"
"538",1766,2015-01-21,"pork"
"539",2551,2015-10-21,"citrus fruit"
"540",2294,2015-09-23,"frankfurter"
"541",4531,2015-05-29,"frankfurter"
"542",2957,2015-04-12,"frankfurter"
"543",4415,2015-01-27,"beer"
"544",1476,2015-08-26,"yogurt"
"545",3978,2015-07-23,"cereal"
"546",2062,2015-09-22,"whole milk"
"547",3252,2015-06-28,"pip fruit"
"548",3922,2015-06-24,"whole milk"
"549",1491,2015-10-17,"root vegetables"
"550",3526,2015-08-26,"onions"
"551",4060,2015-12-11,"specialty chocolate"
"552",1067,2015-04-08,"hamburger meat"
"553",2840,2015-01-27,"photo/film"
"554",4484,2015-11-27,"rolls/buns"
"555",2353,2015-02-07,"canned beer"
"556",3130,2015-02-18,"canned beer"
"557",4273,2015-06-14,"beer"
"558",4565,2015-12-30,"canned beer"
"559",2504,2015-08-14,"curd"
"560",4127,2015-10-23,"butter"
"561",2690,2015-04-01,"beer"
"562",4129,2015-09-22,"whole milk"
"563",4511,2015-06-29,"beef"
"564",1602,2015-08-04,"cereal"
"565",4369,2015-02-01,"soda"
"566",1302,2015-09-29,"fruit/vegetable juice"
"567",3326,2015-04-30,"rolls/buns"
"568",2066,2015-05-21,"pip fruit"
"569",3483,2015-01-15,"frozen vegetables"
"570",2840,2015-02-12,"beverages"
"571",1807,2015-05-18,"hamburger meat"
"572",2067,2015-08-12,"root vegetables"
"573",3783,2015-02-17,"canned beer"
"574",2884,2015-01-04,"frozen vegetables"
"575",2908,2015-03-15,"canned beer"
"576",1330,2015-07-10,"newspapers"
"577",2293,2015-05-08,"rolls/buns"
"578",3718,2015-05-20,"hamburger meat"
"579",4338,2015-01-25,"pip fruit"
"580",3486,2015-11-08,"canned beer"
"581",3635,2015-09-04,"grapes"
"582",2857,2015-02-18,"root vegetables"
"583",3684,2015-08-13,"citrus fruit"
"584",3120,2015-10-20,"cling film/bags"
"585",3872,2015-03-19,"frankfurter"
"586",2777,2015-04-07,"whole milk"
"587",2702,2015-05-27,"pork"
"588",4796,2015-06-29,"chicken"
"589",1564,2015-10-23,"cereal"
"590",2740,2015-07-02,"specialty bar"
"591",1833,2015-04-13,"whipped/sour cream"
"592",1757,2015-12-23,"root vegetables"
"593",2975,2015-10-24,"rolls/buns"
"594",4032,2015-08-10,"beer"
"595",3979,2015-09-16,"citrus fruit"
"596",3772,2015-03-09,"whole milk"
"597",4523,2015-10-28,"frankfurter"
"598",4004,2015-04-19,"coffee"
"599",2936,2015-06-08,"ham"
"600",2394,2015-06-21,"canned beer"
"601",4616,2015-08-16,"canned beer"
"602",2362,2015-07-08,"canned beer"
"603",3593,2015-11-03,"pip fruit"
"604",4389,2015-08-27,"pork"
"605",3206,2015-08-11,"soap"
"606",4601,2015-01-04,"pip fruit"
"607",4382,2015-11-13,"beef"
"608",2718,2015-06-08,"cereal"
"609",4691,2015-10-12,"frozen chicken"
"610",3735,2015-11-28,"soda"
"611",3900,2015-12-20,"tropical fruit"
"612",4959,2015-06-30,"beer"
"613",1815,2015-08-30,"beef"
"614",2454,2015-04-08,"meat"
"615",4778,2015-01-15,"meat"
"616",2289,2015-11-04,"bottled water"
"617",1734,2015-07-13,"rolls/buns"
"618",4019,2015-02-05,"pastry"
"619",4605,2015-05-28,"pork"
"620",4864,2015-11-14,"pip fruit"
"621",4205,2015-02-22,"beef"
"622",1862,2015-08-03,"beef"
"623",1846,2015-07-19,"rolls/buns"
"624",2019,2015-05-28,"citrus fruit"
"625",2042,2015-11-19,"meat"
"626",1768,2015-05-26,"beverages"
"627",3847,2015-03-26,"beef"
"628",3557,2015-07-20,"ham"
"629",3975,2015-02-27,"hamburger meat"
"630",4198,2015-03-18,"beef"
"631",2580,2015-09-04,"beef"
"632",3474,2015-08-25,"root vegetables"
"633",1678,2015-11-14,"citrus fruit"
"634",4254,2015-08-14,"yogurt"
"635",4704,2015-08-21,"tropical fruit"
"636",3343,2015-05-10,"frankfurter"
"637",3812,2015-06-24,"beef"
"638",3093,2015-03-13,"shopping bags"
"639",2170,2015-06-18,"canned beer"
"640",4867,2015-10-29,"rolls/buns"
"641",3899,2015-03-23,"beer"
"642",2941,2015-10-03,"hamburger meat"
"643",1958,2015-07-03,"hamburger meat"
"644",2760,2015-08-08,"frankfurter"
"645",4413,2015-08-03,"bottled beer"
"646",1737,2015-05-15,"tropical fruit"
"647",4202,2015-02-18,"soda"
"648",1065,2015-11-13,"frankfurter"
"649",3819,2015-06-28,"chicken"
"650",2854,2015-02-08,"coffee"
"651",4387,2015-09-16,"whole milk"
"652",4530,2015-04-12,"margarine"
"653",4191,2015-11-03,"tropical fruit"
"654",3102,2015-12-04,"meat"
"655",1946,2015-01-25,"cream cheese "
"656",2156,2015-05-15,"newspapers"
"657",1444,2015-12-16,"rolls/buns"
"658",1699,2015-05-14,"citrus fruit"
"659",4954,2015-05-04,"whole milk"
"660",2207,2015-04-08,"frankfurter"
"661",4826,2015-01-28,"ham"
"662",2374,2015-06-08,"frankfurter"
"663",1604,2015-08-18,"cereal"
"664",4437,2015-11-29,"domestic eggs"
"665",2319,2015-05-10,"whole milk"
"666",3018,2015-06-27,"rolls/buns"
"667",1195,2015-09-28,"whole milk"
"668",1768,2015-09-04,"cereal"
"669",3017,2015-09-28,"curd"
"670",3384,2015-11-29,"bottled water"
"671",1918,2015-01-30,"beef"
"672",2524,2015-10-17,"frankfurter"
"673",2798,2015-06-17,"chicken"
"674",2096,2015-01-25,"cereal"
"675",1489,2015-03-13,"pork"
"676",1431,2015-07-20,"yogurt"
"677",2747,2015-07-05,"whole milk"
"678",3054,2015-03-22,"frankfurter"
"679",2691,2015-10-09,"beef"
"680",1752,2015-04-19,"pip fruit"
"681",3027,2015-09-15,"cereal"
"682",4452,2015-06-17,"pastry"
"683",4129,2015-08-13,"chicken"
"684",3523,2015-11-09,"root vegetables"
"685",2128,2015-02-11,"whole milk"
"686",4867,2015-02-03,"detergent"
"687",4762,2015-10-30,"rolls/buns"
"688",1632,2015-05-29,"house keeping products"
"689",4018,2015-11-17,"yogurt"
"690",1722,2015-07-13,"tropical fruit"
"691",1438,2015-10-19,"tropical fruit"
"692",3958,2015-10-27,"curd"
"693",3292,2015-09-13,"beef"
"694",2861,2015-02-23,"whole milk"
"695",1757,2015-02-24,"pork"
"696",1509,2015-12-30,"beer"
